Gemeente,Jaar,Totaal,A,BF,GN,OU
Aa en Hunze,2008,5.03,0.00,0.83,2.54,1.63
Aa en Hunze,2009,4.97,0.04,0.78,2.33,1.82
Aa en Hunze,2010,5.27,0.04,0.81,2.52,1.90
Aa en Hunze,2011,5.04,0.03,0.76,2.39,1.86
Aa en Hunze,2012,4.67,0.05,0.61,2.15,1.86
Aa en Hunze,2013,5.06,0.05,0.59,1.97,2.45
Aa en Hunze,2014,5.41,0.05,0.59,2.08,2.70
Aalburg,2008,3.21,0.15,0.84,1.69,0.54
Aalburg,2009,3.22,0.14,0.79,1.64,0.66
Aalburg,2010,3.35,0.11,0.73,1.83,0.68
Aalburg,2011,3.28,0.13,0.67,1.86,0.62
Aalburg,2012,3.34,0.13,0.63,1.82,0.76
Aalburg,2013,3.32,0.14,0.62,1.78,0.78
Aalburg,2014,3.26,0.14,0.67,1.77,0.68
Aalsmeer,2008,15.36,0.88,1.55,10.82,2.11
Aalsmeer,2009,15.04,0.77,1.55,10.49,2.24
Aalsmeer,2010,15.12,0.60,1.54,10.45,2.52
Aalsmeer,2011,15.54,0.62,1.48,10.94,2.49
Aalsmeer,2012,14.41,0.58,1.48,10.10,2.25
Aalsmeer,2013,15.54,0.55,1.26,11.53,2.19
Aalsmeer,2014,16.49,0.58,1.29,12.56,2.07
Aalten,2008,9.56,0.25,3.48,3.12,2.70
Aalten,2009,9.23,0.23,3.10,3.21,2.69
Aalten,2010,9.26,0.24,3.31,3.16,2.55
Aalten,2011,9.11,0.26,3.11,3.39,2.35
Aalten,2012,8.46,0.24,2.90,3.10,2.22
Aalten,2013,8.23,0.24,2.83,2.93,2.23
Aalten,2014,7.96,0.24,2.63,2.92,2.16
Achtkarspelen,2008,7.42,0.18,2.39,3.01,1.84
Achtkarspelen,2009,6.81,0.18,2.27,2.91,1.46
Achtkarspelen,2010,7.54,0.17,2.31,3.03,2.02
Achtkarspelen,2011,7.29,0.16,2.20,3.00,1.93
Achtkarspelen,2012,6.95,0.17,1.99,2.86,1.93
Achtkarspelen,2013,6.30,0.17,1.52,2.79,1.82
Achtkarspelen,2014,6.59,0.17,1.80,2.81,1.81
Alblasserdam,2008,8.54,0.00,1.87,5.50,1.16
Alblasserdam,2009,8.47,0.00,1.78,5.45,1.24
Alblasserdam,2010,8.29,0.00,2.08,4.91,1.29
Alblasserdam,2011,8.80,0.00,2.27,5.19,.
Alblasserdam,2012,9.45,0.00,2.70,5.34,.
Alblasserdam,2013,9.00,0.00,2.61,5.34,.
Alblasserdam,2014,8.78,0.00,2.30,5.46,.
Albrandswaard,2008,8.55,0.07,0.65,5.23,2.61
Albrandswaard,2009,8.52,0.07,0.55,5.15,2.75
Albrandswaard,2010,9.23,0.04,0.66,5.59,2.94
Albrandswaard,2011,8.73,0.05,0.52,5.29,2.88
Albrandswaard,2012,8.66,0.04,0.45,5.22,2.95
Albrandswaard,2013,9.33,0.05,0.43,5.88,2.98
Albrandswaard,2014,9.37,0.04,0.43,5.95,2.95
Alkmaar,2008,54.49,0.00,5.51,28.43,20.53
Alkmaar,2009,53.67,0.03,5.12,27.70,20.82
Alkmaar,2010,55.02,0.03,5.68,27.40,21.92
Alkmaar,2011,56.63,0.03,6.32,27.87,22.41
Alkmaar,2012,55.80,0.04,5.76,28.34,21.66
Alkmaar,2013,53.26,0.02,5.43,26.32,21.48
Alkmaar,2014,53.29,0.03,5.63,26.64,20.99
Almelo,2008,45.00,0.06,10.23,20.97,13.73
Almelo,2009,45.31,0.05,10.18,20.22,14.85
Almelo,2010,39.91,0.07,10.14,14.73,14.96
Almelo,2011,41.52,0.06,10.26,15.16,16.04
Almelo,2012,43.07,0.07,10.18,16.56,16.27
Almelo,2013,44.80,0.07,9.43,16.76,18.54
Almelo,2014,44.44,0.07,9.33,16.25,18.79
Almere,2008,71.72,0.27,7.69,44.95,18.81
Almere,2009,70.70,0.21,7.48,43.18,19.83
Almere,2010,66.08,0.17,7.20,37.45,21.25
Almere,2011,65.76,0.17,6.83,37.60,21.15
Almere,2012,69.05,0.18,6.67,36.79,25.41
Almere,2013,62.78,0.13,5.84,36.44,20.37
Almere,2014,64.26,0.11,5.54,38.48,20.13
Alphen aan den Rijn,2008,33.87,0.18,5.15,18.20,10.33
Alphen aan den Rijn,2009,33.72,0.19,4.82,17.38,11.33
Alphen aan den Rijn,2010,32.25,0.18,4.53,16.99,10.55
Alphen aan den Rijn,2011,32.57,0.21,4.39,17.62,10.35
Alphen aan den Rijn,2012,32.35,0.21,4.07,17.27,10.80
Alphen aan den Rijn,2013,31.98,0.30,3.89,16.66,11.13
Alphen aan den Rijn,2014,40.49,1.83,5.39,21.29,11.99
Alphen-Chaam,2008,2.22,0.26,0.58,1.05,0.33
Alphen-Chaam,2009,2.18,0.26,0.55,1.05,0.33
Alphen-Chaam,2010,2.29,0.26,0.55,1.09,0.39
Alphen-Chaam,2011,2.31,0.27,0.53,1.08,0.42
Alphen-Chaam,2012,2.18,0.27,0.47,0.88,0.56
Alphen-Chaam,2013,2.09,0.25,0.40,0.86,0.58
Alphen-Chaam,2014,2.09,0.24,0.40,0.92,0.54
Ameland,2008,1.34,0.00,0.18,0.74,0.40
Ameland,2009,1.45,0.00,0.21,0.80,0.43
Ameland,2010,1.43,0.00,0.20,0.79,0.43
Ameland,2011,1.45,0.00,.,0.81,0.44
Ameland,2012,1.56,0.01,0.18,0.94,0.43
Ameland,2013,1.44,0.00,.,0.88,0.38
Ameland,2014,1.36,0.00,.,0.82,0.38
Amersfoort,2008,81.26,0.05,9.71,45.15,26.36
Amersfoort,2009,82.29,0.07,9.61,45.62,27.00
Amersfoort,2010,83.51,0.07,10.04,45.36,28.05
Amersfoort,2011,83.36,0.07,9.68,44.18,29.44
Amersfoort,2012,84.68,0.10,9.65,45.10,29.83
Amersfoort,2013,82.51,0.07,9.24,43.55,29.66
Amersfoort,2014,81.63,0.06,9.69,42.95,28.93
Amstelveen,2008,46.37,0.44,1.65,33.60,10.68
Amstelveen,2009,46.38,0.40,1.26,33.83,10.89
Amstelveen,2010,44.70,0.36,0.99,31.41,11.94
Amstelveen,2011,42.71,0.28,0.98,30.96,10.50
Amstelveen,2012,41.54,0.27,0.99,28.92,11.36
Amstelveen,2013,41.51,0.25,1.27,28.39,11.61
Amstelveen,2014,41.14,0.00,.,28.38,11.26
Amsterdam,2008,514.38,0.07,32.24,320.74,161.32
Amsterdam,2009,517.51,0.06,32.32,314.95,170.19
Amsterdam,2010,537.14,0.04,31.71,332.22,173.18
Amsterdam,2011,540.71,0.08,31.85,336.21,172.58
Amsterdam,2012,538.30,0.08,31.79,335.59,170.84
Amsterdam,2013,554.10,0.05,26.72,356.97,170.36
Amsterdam,2014,568.91,0.08,27.80,369.90,171.13
Apeldoorn,2008,91.31,0.13,12.81,41.59,36.77
Apeldoorn,2009,94.03,0.18,12.37,42.75,38.73
Apeldoorn,2010,91.43,0.14,12.40,40.90,37.99
Apeldoorn,2011,93.29,0.15,12.21,43.40,37.53
Apeldoorn,2012,94.90,0.17,12.31,43.91,38.51
Apeldoorn,2013,94.12,0.16,11.83,43.70,38.44
Apeldoorn,2014,92.73,0.17,11.27,43.03,38.26
Appingedam,2008,3.19,0.00,0.61,1.30,1.29
Appingedam,2009,3.49,0.00,0.57,1.25,1.68
Appingedam,2010,3.47,0.00,0.58,1.23,1.65
Appingedam,2011,3.53,0.01,0.64,1.23,1.65
Appingedam,2012,3.01,0.01,0.63,1.15,1.22
Appingedam,2013,3.04,0.01,0.61,1.11,1.31
Appingedam,2014,3.04,0.00,0.58,1.26,1.20
Arnhem,2008,104.56,0.00,12.56,47.59,43.46
Arnhem,2009,105.11,0.00,10.51,48.17,46.06
Arnhem,2010,101.25,0.00,9.83,47.65,43.39
Arnhem,2011,103.84,0.00,.,47.60,.
Arnhem,2012,101.38,0.44,0.00,46.00,.
Arnhem,2013,94.06,0.40,0.00,.,42.75
Arnhem,2014,96.60,0.00,.,42.29,43.69
Assen,2008,38.81,0.11,5.14,14.52,19.04
Assen,2009,39.28,0.15,4.83,14.85,19.45
Assen,2010,39.90,0.08,4.90,14.52,20.40
Assen,2011,38.65,0.10,4.73,14.81,19.01
Assen,2012,38.87,0.10,5.18,14.63,18.96
Assen,2013,37.33,0.09,4.41,14.75,18.07
Assen,2014,37.70,0.09,4.50,15.27,17.85
Asten,2008,7.16,0.35,1.29,4.25,1.27
Asten,2009,7.23,0.33,1.31,4.31,1.28
Asten,2010,7.14,0.30,1.48,4.05,1.31
Asten,2011,7.07,0.31,1.45,3.98,1.33
Asten,2012,7.08,0.34,1.42,3.98,1.34
Asten,2013,6.95,0.36,1.37,3.94,1.28
Asten,2014,6.78,0.31,1.40,3.81,1.26
Baarle-Nassau,2008,2.51,0.09,0.55,1.39,0.48
Baarle-Nassau,2009,2.66,0.10,0.55,1.55,0.47
Baarle-Nassau,2010,2.79,0.09,0.56,1.64,0.50
Baarle-Nassau,2011,2.54,0.10,0.55,1.37,0.52
Baarle-Nassau,2012,2.61,0.09,0.66,1.40,0.45
Baarle-Nassau,2013,2.57,0.10,0.53,1.53,0.42
Baarle-Nassau,2014,2.54,0.11,0.54,1.51,0.38
Baarn,2008,11.91,0.00,0.73,6.49,4.67
Baarn,2009,11.57,0.00,0.71,6.12,4.73
Baarn,2010,11.75,0.00,0.68,6.10,4.95
Baarn,2011,11.93,0.01,0.62,6.36,4.94
Baarn,2012,11.22,0.01,0.57,5.79,4.84
Baarn,2013,11.48,0.02,0.43,5.82,5.21
Baarn,2014,11.41,0.02,0.55,5.74,5.09
Barendrecht,2008,22.56,0.00,3.26,15.03,4.22
Barendrecht,2009,22.59,0.00,3.43,15.42,3.71
Barendrecht,2010,24.98,0.03,3.59,16.21,5.15
Barendrecht,2011,24.62,0.03,3.22,15.83,5.53
Barendrecht,2012,24.37,0.05,3.33,15.39,5.60
Barendrecht,2013,23.25,0.03,3.34,14.49,5.39
Barendrecht,2014,22.29,0.04,3.32,14.57,4.35
Barneveld,2008,27.86,0.30,4.64,15.19,7.73
Barneveld,2009,27.04,0.28,4.64,14.39,7.73
Barneveld,2010,28.90,0.27,4.83,15.32,8.48
Barneveld,2011,29.59,0.22,4.99,15.18,9.20
Barneveld,2012,28.73,0.22,4.84,14.57,9.09
Barneveld,2013,28.60,0.22,4.74,13.48,10.17
Barneveld,2014,28.56,0.21,5.09,13.53,9.74
Bedum,2008,3.20,0.16,0.65,1.18,1.22
Bedum,2009,3.22,0.17,0.59,1.15,1.31
Bedum,2010,2.99,0.08,0.62,1.02,1.27
Bedum,2011,2.92,0.08,0.60,1.01,1.22
Bedum,2012,3.06,0.08,0.59,1.25,1.13
Bedum,2013,2.85,0.08,0.61,1.10,1.07
Bedum,2014,2.68,0.09,0.53,1.05,1.02
Beek (L.),2008,6.47,0.00,1.23,4.63,0.60
Beek (L.),2009,6.69,0.00,1.43,4.63,0.62
Beek (L.),2010,6.95,0.00,1.78,4.51,0.66
Beek (L.),2011,7.70,0.00,2.40,4.61,.
Beek (L.),2012,7.87,0.01,1.87,5.25,0.74
Beek (L.),2013,7.58,0.00,1.67,5.05,.
Beek (L.),2014,7.15,0.00,1.47,4.82,.
Beemster,2008,3.14,0.19,0.83,1.35,0.77
Beemster,2009,3.14,0.19,0.82,1.31,0.82
Beemster,2010,3.21,0.19,0.80,1.28,0.93
Beemster,2011,2.89,0.18,0.78,1.13,0.81
Beemster,2012,2.82,0.19,0.88,0.87,0.89
Beemster,2013,2.87,0.18,0.65,1.16,0.89
Beemster,2014,2.82,0.18,0.61,1.23,0.79
Beesel,2008,3.26,0.14,1.03,1.51,0.58
Beesel,2009,2.97,0.14,0.86,1.36,0.62
Beesel,2010,2.95,0.15,0.77,1.32,0.71
Beesel,2011,2.98,0.16,0.86,1.44,0.52
Beesel,2012,3.08,0.15,0.81,1.46,0.65
Beesel,2013,3.23,0.11,0.76,1.43,0.94
Beesel,2014,3.21,0.10,0.72,1.46,0.93
Bellingwedde,2008,1.92,0.00,0.63,0.42,0.83
Bellingwedde,2009,1.96,0.05,0.61,0.33,0.96
Bellingwedde,2010,1.68,0.04,0.28,0.40,0.96
Bellingwedde,2011,1.75,0.05,0.26,0.40,1.04
Bellingwedde,2012,1.49,0.04,0.22,0.36,0.85
Bellingwedde,2013,1.64,0.05,0.50,0.34,0.75
Bellingwedde,2014,1.69,0.06,0.38,0.46,0.79
Berg en Dal,2008, , , , ,
Berg en Dal,2009, , , , ,
Berg en Dal,2010, , , , ,
Berg en Dal,2011, , , , ,
Berg en Dal,2012, , , , ,
Berg en Dal,2013, , , , ,
Berg en Dal,2014, , , , ,
Bergeijk,2008,6.59,0.10,2.27,3.31,0.91
Bergeijk,2009,6.30,0.11,2.04,3.19,0.97
Bergeijk,2010,6.44,0.14,2.15,3.27,0.87
Bergeijk,2011,6.71,0.19,2.17,3.45,0.91
Bergeijk,2012,6.76,0.16,1.99,3.57,1.04
Bergeijk,2013,6.52,0.18,2.04,3.27,1.03
Bergeijk,2014,6.50,0.18,2.05,3.27,1.00
Bergen (L.),2008,3.26,0.26,0.73,1.67,0.60
Bergen (L.),2009,3.16,0.29,0.72,1.41,0.74
Bergen (L.),2010,3.35,0.26,0.72,1.60,0.77
Bergen (L.),2011,3.30,0.24,0.72,1.64,0.70
Bergen (L.),2012,3.22,0.27,0.70,1.62,0.64
Bergen (L.),2013,3.47,0.26,0.73,1.56,0.91
Bergen (L.),2014,3.57,0.31,0.69,1.66,0.91
Bergen (NH.),2008,7.54,0.11,0.75,3.81,2.88
Bergen (NH.),2009,7.36,0.12,0.67,3.78,2.79
Bergen (NH.),2010,7.23,0.12,0.64,3.87,2.59
Bergen (NH.),2011,6.86,0.13,0.54,3.88,2.31
Bergen (NH.),2012,7.33,0.14,0.53,3.85,2.80
Bergen (NH.),2013,7.02,0.14,0.52,3.92,2.44
Bergen (NH.),2014,7.32,0.13,0.51,3.91,2.77
Bergen op Zoom,2008,32.66,0.13,8.51,12.94,11.08
Bergen op Zoom,2009,31.66,0.11,7.71,12.31,11.52
Bergen op Zoom,2010,31.97,0.11,7.79,12.48,11.58
Bergen op Zoom,2011,31.78,0.08,7.62,12.59,11.49
Bergen op Zoom,2012,30.80,0.06,7.66,12.03,11.05
Bergen op Zoom,2013,29.99,0.05,6.96,11.88,11.10
Bergen op Zoom,2014,29.58,0.05,6.37,12.34,10.82
Berkelland,2008,13.87,0.27,4.18,5.30,4.11
Berkelland,2009,13.85,0.29,4.13,5.20,4.23
Berkelland,2010,13.77,0.27,4.07,5.35,4.07
Berkelland,2011,13.90,0.27,3.80,5.65,4.18
Berkelland,2012,14.37,0.27,3.68,5.97,4.44
Berkelland,2013,14.08,0.26,3.58,5.55,4.70
Berkelland,2014,13.42,0.29,3.55,5.60,3.99
Bernheze,2008,9.12,0.36,1.95,4.83,1.98
Bernheze,2009,8.63,0.38,1.70,4.56,1.98
Bernheze,2010,10.38,0.36,1.61,5.03,3.37
Bernheze,2011,10.13,0.36,1.57,4.81,3.39
Bernheze,2012,8.65,0.32,1.50,4.76,2.07
Bernheze,2013,8.48,0.29,1.41,4.64,2.14
Bernheze,2014,8.47,0.33,1.40,4.75,1.99
Best,2008,17.93,0.16,5.57,9.98,2.22
Best,2009,17.12,0.11,4.96,9.51,2.54
Best,2010,18.41,0.11,4.44,11.16,2.70
Best,2011,18.23,0.13,4.62,10.85,2.63
Best,2012,17.06,0.09,4.40,10.21,2.37
Best,2013,15.41,0.09,4.27,8.94,2.11
Best,2014,14.75,0.10,4.96,7.61,2.07
Beuningen,2008,6.93,0.10,1.80,3.38,1.65
Beuningen,2009,6.64,0.09,1.48,3.29,1.78
Beuningen,2010,6.71,0.07,1.35,3.35,1.94
Beuningen,2011,6.51,0.07,1.38,3.30,1.76
Beuningen,2012,6.47,0.06,1.34,3.38,1.69
Beuningen,2013,6.52,0.07,1.08,3.16,2.21
Beuningen,2014,6.73,0.07,1.07,3.44,2.15
Beverwijk,2008,20.09,0.03,2.94,10.57,6.56
Beverwijk,2009,20.10,0.00,2.83,10.17,7.08
Beverwijk,2010,20.65,0.00,2.71,10.18,7.74
Beverwijk,2011,21.08,0.00,.,10.49,7.65
Beverwijk,2012,19.71,0.03,2.56,9.57,7.55
Beverwijk,2013,19.46,0.03,3.14,9.79,6.50
Beverwijk,2014,19.59,0.00,3.36,9.73,.
het Bildt,2008,2.74,0.09,0.72,1.18,0.75
het Bildt,2009,2.48,0.15,0.59,1.05,0.69
het Bildt,2010,2.70,0.13,0.63,1.19,0.75
het Bildt,2011,2.78,0.13,0.57,1.31,0.77
het Bildt,2012,2.77,0.14,0.50,1.30,0.83
het Bildt,2013,2.75,0.12,0.45,1.32,0.86
het Bildt,2014,2.88,0.10,0.47,1.49,0.83
De Bilt,2008,16.28,0.12,1.19,7.06,7.91
De Bilt,2009,15.94,0.05,1.01,6.79,8.10
De Bilt,2010,15.63,0.03,0.80,6.96,7.84
De Bilt,2011,16.67,0.04,0.79,7.11,8.74
De Bilt,2012,16.04,0.04,0.98,6.94,8.07
De Bilt,2013,15.21,0.04,1.06,6.92,7.19
De Bilt,2014,15.07,0.05,1.05,6.69,7.28
Binnenmaas,2008,7.47,0.18,1.75,3.98,1.55
Binnenmaas,2009,7.37,0.19,2.06,3.53,1.60
Binnenmaas,2010,7.93,0.19,1.92,3.55,2.26
Binnenmaas,2011,8.52,0.20,2.28,3.62,2.42
Binnenmaas,2012,8.82,0.18,2.43,3.66,2.56
Binnenmaas,2013,8.76,0.20,2.39,3.66,2.51
Binnenmaas,2014,9.10,0.15,2.33,4.04,2.57
Bladel,2008,11.03,0.13,4.25,4.85,1.81
Bladel,2009,10.84,0.13,3.97,4.71,2.04
Bladel,2010,12.21,0.12,3.98,4.83,3.29
Bladel,2011,12.23,0.12,3.96,4.89,3.26
Bladel,2012,11.26,0.12,3.92,4.97,2.25
Bladel,2013,11.24,0.12,3.91,4.93,2.27
Bladel,2014,11.54,0.13,4.08,5.04,2.30
Blaricum,2008,1.86,0.00,0.16,1.22,0.48
Blaricum,2009,1.47,0.00,0.12,0.95,0.40
Blaricum,2010,2.89,0.00,0.14,1.02,1.73
Blaricum,2011,2.82,0.00,0.13,1.01,1.69
Blaricum,2012,2.81,0.00,0.11,0.98,1.72
Blaricum,2013,2.76,0.00,0.11,0.93,1.72
Blaricum,2014,2.74,0.00,0.11,0.94,1.69
Bloemendaal,2008,3.86,0.00,0.15,1.70,1.99
Bloemendaal,2009,5.15,0.02,0.19,2.09,2.84
Bloemendaal,2010,4.99,0.03,0.20,2.26,2.51
Bloemendaal,2011,4.94,0.02,0.18,2.34,2.41
Bloemendaal,2012,5.05,0.01,0.16,2.19,2.69
Bloemendaal,2013,4.87,0.01,0.16,2.02,2.68
Bloemendaal,2014,4.86,0.01,0.15,2.17,2.53
Bodegraven-Reeuwijk,2008, , , , ,
Bodegraven-Reeuwijk,2009, , , , ,
Bodegraven-Reeuwijk,2010, , , , ,
Bodegraven-Reeuwijk,2011,13.32,0.23,2.40,8.83,1.87
Bodegraven-Reeuwijk,2012,12.57,0.22,2.23,8.31,1.81
Bodegraven-Reeuwijk,2013,12.18,0.24,2.29,7.79,1.86
Bodegraven-Reeuwijk,2014,12.32,0.22,2.18,8.28,1.64
Boekel,2008,3.17,0.42,0.52,1.02,1.22
Boekel,2009,3.13,0.44,0.38,1.03,1.28
Boekel,2010,2.96,0.40,0.45,0.96,1.14
Boekel,2011,2.99,0.38,0.40,1.07,1.15
Boekel,2012,2.85,0.35,0.32,0.98,1.20
Boekel,2013,2.77,0.31,0.31,0.99,1.16
Boekel,2014,2.87,0.31,0.32,1.09,1.14
Ten Boer,2008,0.74,0.00,0.17,0.30,0.25
Ten Boer,2009,0.83,0.00,0.20,0.27,0.35
Ten Boer,2010,1.39,0.00,0.21,0.29,0.88
Ten Boer,2011,1.34,0.02,0.22,0.34,0.77
Ten Boer,2012,1.27,0.04,0.18,0.36,0.69
Ten Boer,2013,1.25,0.03,0.16,0.37,0.69
Ten Boer,2014,1.26,0.04,0.20,0.38,0.65
Borger-Odoorn,2008,5.40,0.00,1.45,2.63,1.23
Borger-Odoorn,2009,4.33,0.09,1.30,1.80,1.14
Borger-Odoorn,2010,4.28,0.12,1.16,1.88,1.12
Borger-Odoorn,2011,4.35,0.12,1.12,1.92,1.20
Borger-Odoorn,2012,4.22,0.00,0.97,1.95,.
Borger-Odoorn,2013,4.27,0.00,0.95,1.75,.
Borger-Odoorn,2014,4.26,0.14,0.91,1.85,1.36
Borne,2008,5.02,0.00,1.19,2.49,1.32
Borne,2009,6.62,0.00,0.99,2.41,3.21
Borne,2010,5.39,0.00,0.96,2.63,1.76
Borne,2011,5.67,0.04,0.95,2.69,1.99
Borne,2012,5.65,0.00,.,2.68,1.96
Borne,2013,5.31,0.00,.,2.40,1.89
Borne,2014,5.36,0.00,.,2.56,1.76
Borsele,2008,5.87,0.22,2.26,2.23,1.15
Borsele,2009,6.70,0.23,2.71,2.30,1.45
Borsele,2010,6.95,0.22,2.75,2.40,1.57
Borsele,2011,7.01,0.24,2.80,2.35,1.62
Borsele,2012,7.39,0.25,2.76,2.57,1.81
Borsele,2013,7.36,0.25,2.79,2.56,1.75
Borsele,2014,7.66,0.25,3.12,2.49,1.80
Boxmeer,2008,15.09,0.38,4.78,5.16,4.76
Boxmeer,2009,14.97,0.42,4.58,4.97,5.00
Boxmeer,2010,15.51,0.41,4.59,5.16,5.35
Boxmeer,2011,16.25,0.47,4.74,5.09,5.96
Boxmeer,2012,16.03,0.53,4.56,5.19,5.75
Boxmeer,2013,15.31,0.52,4.45,4.97,5.37
Boxmeer,2014,14.83,0.50,4.37,4.86,5.10
Boxtel,2008,15.02,0.11,5.08,5.61,4.23
Boxtel,2009,14.78,0.10,4.90,5.33,4.45
Boxtel,2010,14.60,0.11,4.63,5.23,4.64
Boxtel,2011,14.50,0.11,4.83,5.09,4.47
Boxtel,2012,14.64,0.11,4.99,5.19,4.36
Boxtel,2013,13.84,0.13,5.22,4.42,4.07
Boxtel,2014,13.59,0.09,5.29,4.27,3.93
Breda,2008,99.69,0.44,13.72,49.35,36.18
Breda,2009,100.63,0.44,13.45,49.53,37.21
Breda,2010,101.25,0.45,13.68,50.26,36.86
Breda,2011,108.23,0.52,13.36,54.92,39.42
Breda,2012,102.88,0.52,13.03,50.98,38.34
Breda,2013,101.59,0.60,12.11,51.34,37.54
Breda,2014,104.28,0.42,11.91,55.38,36.57
Brielle,2008,4.68,0.38,0.94,2.46,0.90
Brielle,2009,4.35,0.34,0.93,2.13,0.95
Brielle,2010,4.90,0.38,0.89,2.21,1.42
Brielle,2011,4.68,0.33,0.69,2.42,1.23
Brielle,2012,4.60,0.33,0.67,2.40,1.20
Brielle,2013,4.54,0.29,0.62,2.25,1.38
Brielle,2014,4.44,0.26,0.67,2.22,1.30
Bronckhorst,2008,11.10,0.25,3.22,4.84,2.79
Bronckhorst,2009,10.62,0.25,3.10,4.58,2.68
Bronckhorst,2010,10.66,0.28,3.02,4.71,2.65
Bronckhorst,2011,10.37,0.28,2.90,4.59,2.59
Bronckhorst,2012,10.66,0.27,2.74,4.73,2.93
Bronckhorst,2013,10.81,0.28,2.69,4.75,3.08
Bronckhorst,2014,10.20,0.25,2.43,4.82,2.70
Brummen,2008,7.40,0.05,2.77,2.78,1.81
Brummen,2009,6.71,0.07,2.37,2.64,1.63
Brummen,2010,7.07,0.05,2.46,2.66,1.91
Brummen,2011,7.20,0.05,2.41,2.66,2.08
Brummen,2012,7.52,0.05,2.73,2.77,1.97
Brummen,2013,7.18,0.05,2.69,2.64,1.79
Brummen,2014,7.17,0.06,2.73,2.71,1.67
Brunssum,2008,8.23,0.00,1.51,2.58,4.14
Brunssum,2009,7.27,0.00,1.11,2.63,3.52
Brunssum,2010,6.43,0.00,1.13,2.46,2.83
Brunssum,2011,7.35,0.00,1.52,2.73,3.10
Brunssum,2012,6.71,0.00,1.40,2.47,2.84
Brunssum,2013,6.84,0.00,1.70,2.27,2.87
Brunssum,2014,7.21,0.00,1.51,2.26,3.44
Bunnik,2008,7.07,0.09,1.24,3.68,2.06
Bunnik,2009,7.76,0.09,1.72,3.57,2.38
Bunnik,2010,7.37,0.09,1.70,3.18,2.40
Bunnik,2011,7.26,0.11,1.52,3.31,2.31
Bunnik,2012,7.24,0.10,1.76,3.22,2.16
Bunnik,2013,7.41,0.09,1.68,3.49,2.15
Bunnik,2014,6.81,0.08,1.28,3.43,2.01
Bunschoten,2008,9.95,0.00,3.62,5.15,1.17
Bunschoten,2009,9.83,0.00,3.59,4.93,1.29
Bunschoten,2010,9.82,0.00,3.60,4.89,1.31
Bunschoten,2011,10.20,0.03,3.69,5.25,1.24
Bunschoten,2012,10.52,0.03,4.03,5.18,1.28
Bunschoten,2013,10.38,0.06,3.52,5.46,1.33
Bunschoten,2014,10.67,0.07,3.48,5.70,1.42
Buren,2008,5.76,0.34,1.33,2.77,1.32
Buren,2009,5.33,0.39,1.28,2.41,1.25
Buren,2010,5.77,0.39,1.24,2.54,1.61
Buren,2011,6.06,0.43,1.21,2.78,1.63
Buren,2012,5.99,0.42,1.08,2.66,1.83
Buren,2013,5.97,0.46,0.95,2.88,1.67
Buren,2014,6.10,0.49,1.04,2.87,1.71
Capelle aan den IJssel,2008,47.01,0.00,12.15,25.69,9.16
Capelle aan den IJssel,2009,43.92,0.00,10.72,24.25,8.94
Capelle aan den IJssel,2010,39.61,0.00,5.95,23.53,10.12
Capelle aan den IJssel,2011,39.85,0.02,5.39,23.61,10.83
Capelle aan den IJssel,2012,39.36,0.00,.,23.10,10.88
Capelle aan den IJssel,2013,35.35,0.00,.,21.35,9.71
Capelle aan den IJssel,2014,33.72,0.00,.,21.29,8.69
Castricum,2008,8.18,0.08,0.80,3.93,3.36
Castricum,2009,7.52,0.08,0.82,3.66,2.96
Castricum,2010,7.56,0.07,0.80,3.89,2.80
Castricum,2011,7.55,0.09,0.80,3.89,2.77
Castricum,2012,7.30,0.08,0.79,3.77,2.66
Castricum,2013,7.73,0.08,0.78,3.88,3.00
Castricum,2014,7.60,0.09,0.66,3.94,2.91
Coevorden,2008,10.74,0.00,2.85,5.06,2.68
Coevorden,2009,9.88,0.15,2.63,4.33,2.77
Coevorden,2010,9.99,0.13,2.82,4.58,2.46
Coevorden,2011,10.84,0.00,2.70,5.22,.
Coevorden,2012,10.61,0.00,2.44,5.19,.
Coevorden,2013,10.24,0.00,2.31,4.73,.
Coevorden,2014,10.00,0.11,2.31,4.79,2.79
Cranendonck,2008,7.70,0.06,3.31,2.97,1.36
Cranendonck,2009,7.45,0.05,2.66,3.39,1.35
Cranendonck,2010,7.52,0.06,2.78,3.05,1.62
Cranendonck,2011,7.19,0.06,2.91,2.62,1.59
Cranendonck,2012,6.79,0.08,2.50,2.72,1.48
Cranendonck,2013,6.32,0.08,2.14,2.73,1.38
Cranendonck,2014,6.61,0.09,2.22,2.90,1.41
Cromstrijen,2008,4.04,0.07,1.20,1.97,0.81
Cromstrijen,2009,3.85,0.05,0.92,2.00,0.88
Cromstrijen,2010,4.05,0.05,0.95,2.18,0.88
Cromstrijen,2011,3.90,0.06,0.67,2.27,0.91
Cromstrijen,2012,3.85,0.09,0.59,2.22,0.96
Cromstrijen,2013,3.66,0.09,0.54,2.05,0.99
Cromstrijen,2014,3.65,0.10,0.62,1.96,0.96
Cuijk,2008,12.71,0.22,3.79,5.52,3.19
Cuijk,2009,12.73,0.22,3.71,5.88,2.92
Cuijk,2010,11.54,0.19,3.64,5.47,2.24
Cuijk,2011,11.17,0.20,3.38,5.53,2.06
Cuijk,2012,11.03,0.20,3.53,5.45,1.85
Cuijk,2013,10.80,0.20,3.22,5.42,1.96
Cuijk,2014,10.99,0.20,3.37,5.47,1.95
